date,margin_purchase_money
2026-05-08,477184758000.0
2026-05-11,484592746000.0
2026-05-12,491194951000.0
2026-05-13,494418035000.0
2026-05-14,499134844000.0
2026-05-15,492797137000.0
2026-05-18,501619604000.0
2026-05-19,496887083000.0
2026-05-20,502079185000.0
2026-05-21,511154475000.0
2026-05-22,522289307000.0
2026-05-25,530476074000.0
2026-05-26,534592623000.0
2026-05-27,536269185000.0
2026-05-28,535029538000.0
2026-05-29,556359646000.0
2026-06-01,565779103000.0
2026-06-02,566970793000.0
2026-06-03,568395323000.0
2026-06-04,572635940000.0
2026-06-05,566649267000.0
2026-06-08,551012201000.0
2026-06-09,563876896000.0
2026-06-10,546811625000.0
2026-06-11,549176982000.0
2026-06-12,557027949000.0
2026-06-15,571907094000.0
2026-06-16,571307649000.0
2026-06-17,583911936000.0
2026-06-18,593046547000.0
2026-06-22,605041591000.0
2026-06-23,593929137000.0
2026-06-24,607456271000.0
2026-06-25,611000560000.0
2026-06-26,590925882000.0
2026-06-29,594229687000.0
2026-06-30,611652207000.0
2026-07-01,609502407000.0
2026-07-02,620837289000.0
2026-07-03,630812485000.0
2026-07-06,631344856000.0
2026-07-07,610945256000.0
2026-07-08,613815725000.0
2026-07-09,619648244000.0
2026-07-13,618299040000.0
2026-07-14,604034106000.0
2026-07-15,615368175000.0
2026-07-16,615575992000.0
2026-07-17,587962513000.0
2026-07-20,569035788000.0
2026-07-21,576496237000.0
2026-07-22,582823505000.0
2026-07-23,582626351000.0
2026-07-24,577059537000.0
2026-07-27,568663454000.0
2026-07-28,545534811000.0
2026-07-29,507011173000.0
2026-07-30,493867294000.0
2026-07-31,507462771000.0
2026-08-03,514755393000.0
2026-08-04,521134665000.0
2026-08-05,523492321000.0
2026-08-06,532804981000.0
2026-08-07,537664510000.0
2026-08-10,545295561000.0
2026-08-11,544151977000.0
2026-08-12,548083912000.0
